dates,category,value,year,month,category2,heat
1960-07-01,max_temp,24.2,1960,7,1994년_이전,정상
1960-07-02,max_temp,29.8,1960,7,1994년_이전,정상
1960-07-03,max_temp,24.4,1960,7,1994년_이전,정상
1960-07-04,max_temp,26.4,1960,7,1994년_이전,정상
1960-07-05,max_temp,30.6,1960,7,1994년_이전,정상
1960-07-06,max_temp,30.4,1960,7,1994년_이전,정상
1960-07-07,max_temp,22.3,1960,7,1994년_이전,정상
1960-07-08,max_temp,22.3,1960,7,1994년_이전,정상
1960-07-09,max_temp,27,1960,7,1994년_이전,정상
1960-07-10,max_temp,30.2,1960,7,1994년_이전,정상
1960-07-11,max_temp,30,1960,7,1994년_이전,정상
1960-07-12,max_temp,29.1,1960,7,1994년_이전,정상
1960-07-13,max_temp,29,1960,7,1994년_이전,정상
1960-07-14,max_temp,24.4,1960,7,1994년_이전,정상
1960-07-15,max_temp,29.2,1960,7,1994년_이전,정상
1960-07-16,max_temp,31.9,1960,7,1994년_이전,정상
1960-07-17,max_temp,31.5,1960,7,1994년_이전,정상
1960-07-18,max_temp,31.4,1960,7,1994년_이전,정상
1960-07-19,max_temp,31.4,1960,7,1994년_이전,정상
1960-07-20,max_temp,31.2,1960,7,1994년_이전,정상
1960-07-21,max_temp,31.5,1960,7,1994년_이전,정상
1960-07-22,max_temp,32.4,1960,7,1994년_이전,정상
1960-07-23,max_temp,31.6,1960,7,1994년_이전,정상
1960-07-24,max_temp,28,1960,7,1994년_이전,정상
1960-07-25,max_temp,24.8,1960,7,1994년_이전,정상
1960-07-26,max_temp,27,1960,7,1994년_이전,정상
1960-07-27,max_temp,30.5,1960,7,1994년_이전,정상
1960-07-28,max_temp,28.6,1960,7,1994년_이전,정상
1960-07-29,max_temp,32.3,1960,7,1994년_이전,정상
1960-07-30,max_temp,30.6,1960,7,1994년_이전,정상
1960-07-31,max_temp,30.5,1960,7,1994년_이전,정상
1960-08-01,max_temp,29.8,1960,8,1994년_이전,정상
1960-08-02,max_temp,29.8,1960,8,1994년_이전,정상
1960-08-03,max_temp,34.3,1960,8,1994년_이전,폭염
1960-08-04,max_temp,34.3,1960,8,1994년_이전,폭염
1960-08-05,max_temp,34.4,1960,8,1994년_이전,폭염
1960-08-06,max_temp,34.1,1960,8,1994년_이전,폭염
1960-08-07,max_temp,33.6,1960,8,1994년_이전,폭염
1960-08-08,max_temp,34.1,1960,8,1994년_이전,폭염
1960-08-09,max_temp,33.7,1960,8,1994년_이전,폭염
1960-08-10,max_temp,33.8,1960,8,1994년_이전,폭염
1960-08-11,max_temp,32.9,1960,8,1994년_이전,정상
1960-08-12,max_temp,32.2,1960,8,1994년_이전,정상
1960-08-13,max_temp,30.6,1960,8,1994년_이전,정상
1960-08-14,max_temp,32,1960,8,1994년_이전,정상
1960-08-15,max_temp,30.6,1960,8,1994년_이전,정상
1960-08-16,max_temp,28.7,1960,8,1994년_이전,정상
1960-08-17,max_temp,33.9,1960,8,1994년_이전,폭염
1960-08-18,max_temp,31.1,1960,8,1994년_이전,정상
1960-08-19,max_temp,33.3,1960,8,1994년_이전,폭염
1960-08-20,max_temp,34.1,1960,8,1994년_이전,폭염
1960-08-21,max_temp,33.5,1960,8,1994년_이전,폭염
1960-08-22,max_temp,32.4,1960,8,1994년_이전,정상
1960-08-23,max_temp,27.1,1960,8,1994년_이전,정상
1960-08-24,max_temp,29.6,1960,8,1994년_이전,정상
1960-08-25,max_temp,29.2,1960,8,1994년_이전,정상
1960-08-26,max_temp,31,1960,8,1994년_이전,정상
1960-08-27,max_temp,30.4,1960,8,1994년_이전,정상
1960-08-28,max_temp,25,1960,8,1994년_이전,정상
1960-08-29,max_temp,21.7,1960,8,1994년_이전,정상
1960-08-30,max_temp,26.6,1960,8,1994년_이전,정상
1960-08-31,max_temp,29.4,1960,8,1994년_이전,정상
1961-07-01,max_temp,32.3,1961,7,1994년_이전,정상
1961-07-02,max_temp,28,1961,7,1994년_이전,정상
1961-07-03,max_temp,26.6,1961,7,1994년_이전,정상
1961-07-04,max_temp,31.1,1961,7,1994년_이전,정상
1961-07-05,max_temp,31.5,1961,7,1994년_이전,정상
1961-07-06,max_temp,25,1961,7,1994년_이전,정상
1961-07-07,max_temp,24.6,1961,7,1994년_이전,정상
1961-07-08,max_temp,25.8,1961,7,1994년_이전,정상
1961-07-09,max_temp,27.5,1961,7,1994년_이전,정상
1961-07-10,max_temp,28.3,1961,7,1994년_이전,정상
1961-07-11,max_temp,29,1961,7,1994년_이전,정상
1961-07-12,max_temp,25.6,1961,7,1994년_이전,정상
1961-07-13,max_temp,27.4,1961,7,1994년_이전,정상
1961-07-14,max_temp,26.7,1961,7,1994년_이전,정상
1961-07-15,max_temp,29.8,1961,7,1994년_이전,정상
1961-07-16,max_temp,30.6,1961,7,1994년_이전,정상
1961-07-17,max_temp,31.8,1961,7,1994년_이전,정상
1961-07-18,max_temp,33.5,1961,7,1994년_이전,폭염
1961-07-19,max_temp,33.4,1961,7,1994년_이전,폭염
1961-07-20,max_temp,31.3,1961,7,1994년_이전,정상
1961-07-21,max_temp,29.7,1961,7,1994년_이전,정상
1961-07-22,max_temp,31.5,1961,7,1994년_이전,정상
1961-07-23,max_temp,32.7,1961,7,1994년_이전,정상
1961-07-24,max_temp,32.7,1961,7,1994년_이전,정상
1961-07-25,max_temp,33,1961,7,1994년_이전,폭염
1961-07-26,max_temp,33.3,1961,7,1994년_이전,폭염
1961-07-27,max_temp,30.5,1961,7,1994년_이전,정상
1961-07-28,max_temp,27.4,1961,7,1994년_이전,정상
1961-07-29,max_temp,33.5,1961,7,1994년_이전,폭염
1961-07-30,max_temp,33.9,1961,7,1994년_이전,폭염
1961-07-31,max_temp,34.4,1961,7,1994년_이전,폭염
1961-08-01,max_temp,35.3,1961,8,1994년_이전,폭염
1961-08-02,max_temp,34.2,1961,8,1994년_이전,폭염
1961-08-03,max_temp,35.1,1961,8,1994년_이전,폭염
1961-08-04,max_temp,30,1961,8,1994년_이전,정상
1961-08-05,max_temp,33.1,1961,8,1994년_이전,폭염
1961-08-06,max_temp,32.8,1961,8,1994년_이전,정상
1961-08-07,max_temp,33.5,1961,8,1994년_이전,폭염
1961-08-08,max_temp,30.3,1961,8,1994년_이전,정상
1961-08-09,max_temp,31.4,1961,8,1994년_이전,정상
1961-08-10,max_temp,30.3,1961,8,1994년_이전,정상
1961-08-11,max_temp,30.5,1961,8,1994년_이전,정상
1961-08-12,max_temp,28,1961,8,1994년_이전,정상
1961-08-13,max_temp,30.7,1961,8,1994년_이전,정상
1961-08-14,max_temp,32,1961,8,1994년_이전,정상
1961-08-15,max_temp,29.6,1961,8,1994년_이전,정상
1961-08-16,max_temp,26.1,1961,8,1994년_이전,정상
1961-08-17,max_temp,31.2,1961,8,1994년_이전,정상
1961-08-18,max_temp,33.4,1961,8,1994년_이전,폭염
1961-08-19,max_temp,33.5,1961,8,1994년_이전,폭염
1961-08-20,max_temp,30.3,1961,8,1994년_이전,정상
1961-08-21,max_temp,31.3,1961,8,1994년_이전,정상
1961-08-22,max_temp,31.3,1961,8,1994년_이전,정상
1961-08-23,max_temp,31.1,1961,8,1994년_이전,정상
1961-08-24,max_temp,30,1961,8,1994년_이전,정상
1961-08-25,max_temp,29.7,1961,8,1994년_이전,정상
1961-08-26,max_temp,32.2,1961,8,1994년_이전,정상
1961-08-27,max_temp,31.3,1961,8,1994년_이전,정상
1961-08-28,max_temp,31.4,1961,8,1994년_이전,정상
1961-08-29,max_temp,29.5,1961,8,1994년_이전,정상
1961-08-30,max_temp,24.9,1961,8,1994년_이전,정상
1961-08-31,max_temp,26.3,1961,8,1994년_이전,정상
1962-07-01,max_temp,32.9,1962,7,1994년_이전,정상
1962-07-02,max_temp,35,1962,7,1994년_이전,폭염
1962-07-03,max_temp,31.5,1962,7,1994년_이전,정상
1962-07-04,max_temp,30.6,1962,7,1994년_이전,정상
1962-07-05,max_temp,34.5,1962,7,1994년_이전,폭염
1962-07-06,max_temp,34.1,1962,7,1994년_이전,폭염
1962-07-07,max_temp,30.4,1962,7,1994년_이전,정상
1962-07-08,max_temp,32.3,1962,7,1994년_이전,정상
1962-07-09,max_temp,24.4,1962,7,1994년_이전,정상
1962-07-10,max_temp,30.6,1962,7,1994년_이전,정상
1962-07-11,max_temp,26.3,1962,7,1994년_이전,정상
1962-07-12,max_temp,29.8,1962,7,1994년_이전,정상
1962-07-13,max_temp,29.6,1962,7,1994년_이전,정상
1962-07-14,max_temp,33.2,1962,7,1994년_이전,폭염
1962-07-15,max_temp,30.7,1962,7,1994년_이전,정상
1962-07-16,max_temp,34,1962,7,1994년_이전,폭염
1962-07-17,max_temp,27.8,1962,7,1994년_이전,정상
1962-07-18,max_temp,29.3,1962,7,1994년_이전,정상
1962-07-19,max_temp,28,1962,7,1994년_이전,정상
1962-07-20,max_temp,24.3,1962,7,1994년_이전,정상
1962-07-21,max_temp,30.6,1962,7,1994년_이전,정상
1962-07-22,max_temp,26.8,1962,7,1994년_이전,정상
1962-07-23,max_temp,26.6,1962,7,1994년_이전,정상
1962-07-24,max_temp,34.2,1962,7,1994년_이전,폭염
1962-07-25,max_temp,35,1962,7,1994년_이전,폭염
1962-07-26,max_temp,34.7,1962,7,1994년_이전,폭염
1962-07-27,max_temp,32.9,1962,7,1994년_이전,정상
1962-07-28,max_temp,27.2,1962,7,1994년_이전,정상
1962-07-29,max_temp,25.8,1962,7,1994년_이전,정상
1962-07-30,max_temp,30.4,1962,7,1994년_이전,정상
1962-07-31,max_temp,32.2,1962,7,1994년_이전,정상
1962-08-01,max_temp,30.4,1962,8,1994년_이전,정상
1962-08-02,max_temp,28,1962,8,1994년_이전,정상
1962-08-03,max_temp,28,1962,8,1994년_이전,정상
1962-08-04,max_temp,30.4,1962,8,1994년_이전,정상
1962-08-05,max_temp,28.4,1962,8,1994년_이전,정상
1962-08-06,max_temp,28.8,1962,8,1994년_이전,정상
1962-08-07,max_temp,31.1,1962,8,1994년_이전,정상
1962-08-08,max_temp,26.9,1962,8,1994년_이전,정상
1962-08-09,max_temp,28.7,1962,8,1994년_이전,정상
1962-08-10,max_temp,30.4,1962,8,1994년_이전,정상
1962-08-11,max_temp,32.5,1962,8,1994년_이전,정상
1962-08-12,max_temp,33.1,1962,8,1994년_이전,폭염
1962-08-13,max_temp,32.4,1962,8,1994년_이전,정상
1962-08-14,max_temp,29,1962,8,1994년_이전,정상
1962-08-15,max_temp,27.4,1962,8,1994년_이전,정상
1962-08-16,max_temp,26.6,1962,8,1994년_이전,정상
1962-08-17,max_temp,27.5,1962,8,1994년_이전,정상
1962-08-18,max_temp,29.9,1962,8,1994년_이전,정상
1962-08-19,max_temp,30,1962,8,1994년_이전,정상
1962-08-20,max_temp,30.9,1962,8,1994년_이전,정상
1962-08-21,max_temp,32.1,1962,8,1994년_이전,정상
1962-08-22,max_temp,31.2,1962,8,1994년_이전,정상
1962-08-23,max_temp,30.8,1962,8,1994년_이전,정상
1962-08-24,max_temp,26.4,1962,8,1994년_이전,정상
1962-08-25,max_temp,28.3,1962,8,1994년_이전,정상
1962-08-26,max_temp,29.2,1962,8,1994년_이전,정상
1962-08-27,max_temp,22.8,1962,8,1994년_이전,정상
1962-08-28,max_temp,28.1,1962,8,1994년_이전,정상
1962-08-29,max_temp,29,1962,8,1994년_이전,정상
1962-08-30,max_temp,27.8,1962,8,1994년_이전,정상
1962-08-31,max_temp,27.8,1962,8,1994년_이전,정상
1963-07-01,max_temp,28.2,1963,7,1994년_이전,정상
1963-07-02,max_temp,28.5,1963,7,1994년_이전,정상
1963-07-03,max_temp,29.4,1963,7,1994년_이전,정상
1963-07-04,max_temp,24.8,1963,7,1994년_이전,정상
1963-07-05,max_temp,29.4,1963,7,1994년_이전,정상
1963-07-06,max_temp,29.5,1963,7,1994년_이전,정상
1963-07-07,max_temp,23,1963,7,1994년_이전,정상
1963-07-08,max_temp,27.7,1963,7,1994년_이전,정상
1963-07-09,max_temp,26.9,1963,7,1994년_이전,정상
1963-07-10,max_temp,24.5,1963,7,1994년_이전,정상
1963-07-11,max_temp,29.7,1963,7,1994년_이전,정상
1963-07-12,max_temp,26.4,1963,7,1994년_이전,정상
1963-07-13,max_temp,26.2,1963,7,1994년_이전,정상
1963-07-14,max_temp,29.6,1963,7,1994년_이전,정상
1963-07-15,max_temp,28.3,1963,7,1994년_이전,정상
1963-07-16,max_temp,27.2,1963,7,1994년_이전,정상
1963-07-17,max_temp,25,1963,7,1994년_이전,정상
1963-07-18,max_temp,30.5,1963,7,1994년_이전,정상
1963-07-19,max_temp,33.1,1963,7,1994년_이전,폭염
1963-07-20,max_temp,32,1963,7,1994년_이전,정상
1963-07-21,max_temp,27,1963,7,1994년_이전,정상
1963-07-22,max_temp,29,1963,7,1994년_이전,정상
1963-07-23,max_temp,26.2,1963,7,1994년_이전,정상
1963-07-24,max_temp,25.6,1963,7,1994년_이전,정상
1963-07-25,max_temp,25.6,1963,7,1994년_이전,정상
1963-07-26,max_temp,27.5,1963,7,1994년_이전,정상
1963-07-27,max_temp,28.2,1963,7,1994년_이전,정상
1963-07-28,max_temp,29.4,1963,7,1994년_이전,정상
1963-07-29,max_temp,27.2,1963,7,1994년_이전,정상
1963-07-30,max_temp,30.7,1963,7,1994년_이전,정상
1963-07-31,max_temp,30.8,1963,7,1994년_이전,정상
1963-08-01,max_temp,31.2,1963,8,1994년_이전,정상
1963-08-02,max_temp,32,1963,8,1994년_이전,정상
1963-08-03,max_temp,32.8,1963,8,1994년_이전,정상
1963-08-04,max_temp,31.8,1963,8,1994년_이전,정상
1963-08-05,max_temp,32.4,1963,8,1994년_이전,정상
1963-08-06,max_temp,32.9,1963,8,1994년_이전,정상
1963-08-07,max_temp,33.4,1963,8,1994년_이전,폭염
1963-08-08,max_temp,33.2,1963,8,1994년_이전,폭염
1963-08-09,max_temp,33.7,1963,8,1994년_이전,폭염
1963-08-10,max_temp,31.5,1963,8,1994년_이전,정상
1963-08-11,max_temp,30.3,1963,8,1994년_이전,정상
1963-08-12,max_temp,31.5,1963,8,1994년_이전,정상
1963-08-13,max_temp,27.6,1963,8,1994년_이전,정상
1963-08-14,max_temp,29.8,1963,8,1994년_이전,정상
1963-08-15,max_temp,29.1,1963,8,1994년_이전,정상
1963-08-16,max_temp,26.8,1963,8,1994년_이전,정상
1963-08-17,max_temp,26.7,1963,8,1994년_이전,정상
1963-08-18,max_temp,28.8,1963,8,1994년_이전,정상
1963-08-19,max_temp,30.2,1963,8,1994년_이전,정상
1963-08-20,max_temp,26.2,1963,8,1994년_이전,정상
1963-08-21,max_temp,29.2,1963,8,1994년_이전,정상
1963-08-22,max_temp,24.3,1963,8,1994년_이전,정상
1963-08-23,max_temp,25.2,1963,8,1994년_이전,정상
1963-08-24,max_temp,29.6,1963,8,1994년_이전,정상
1963-08-25,max_temp,30.8,1963,8,1994년_이전,정상
1963-08-26,max_temp,33.2,1963,8,1994년_이전,폭염
1963-08-27,max_temp,33,1963,8,1994년_이전,폭염
1963-08-28,max_temp,28.2,1963,8,1994년_이전,정상
1963-08-29,max_temp,30.7,1963,8,1994년_이전,정상
1963-08-30,max_temp,24.7,1963,8,1994년_이전,정상
1963-08-31,max_temp,31.6,1963,8,1994년_이전,정상
1964-07-01,max_temp,24.4,1964,7,1994년_이전,정상
1964-07-02,max_temp,24,1964,7,1994년_이전,정상
1964-07-03,max_temp,25.6,1964,7,1994년_이전,정상
1964-07-04,max_temp,29.8,1964,7,1994년_이전,정상
1964-07-05,max_temp,26.2,1964,7,1994년_이전,정상
1964-07-06,max_temp,26.2,1964,7,1994년_이전,정상
1964-07-07,max_temp,26.1,1964,7,1994년_이전,정상
1964-07-08,max_temp,25.5,1964,7,1994년_이전,정상
1964-07-09,max_temp,24.6,1964,7,1994년_이전,정상
1964-07-10,max_temp,28.8,1964,7,1994년_이전,정상
1964-07-11,max_temp,30.1,1964,7,1994년_이전,정상
1964-07-12,max_temp,30.4,1964,7,1994년_이전,정상
1964-07-13,max_temp,27.3,1964,7,1994년_이전,정상
1964-07-14,max_temp,25.9,1964,7,1994년_이전,정상
1964-07-15,max_temp,29,1964,7,1994년_이전,정상
1964-07-16,max_temp,27.9,1964,7,1994년_이전,정상
1964-07-17,max_temp,24.2,1964,7,1994년_이전,정상
1964-07-18,max_temp,29,1964,7,1994년_이전,정상
1964-07-19,max_temp,28.6,1964,7,1994년_이전,정상
1964-07-20,max_temp,28.9,1964,7,1994년_이전,정상
1964-07-21,max_temp,28.7,1964,7,1994년_이전,정상
1964-07-22,max_temp,29,1964,7,1994년_이전,정상
1964-07-23,max_temp,25,1964,7,1994년_이전,정상
1964-07-24,max_temp,29.8,1964,7,1994년_이전,정상
1964-07-25,max_temp,32.1,1964,7,1994년_이전,정상
1964-07-26,max_temp,32.4,1964,7,1994년_이전,정상
1964-07-27,max_temp,33.2,1964,7,1994년_이전,폭염
1964-07-28,max_temp,33.6,1964,7,1994년_이전,폭염
1964-07-29,max_temp,30.8,1964,7,1994년_이전,정상
1964-07-30,max_temp,28.6,1964,7,1994년_이전,정상
1964-07-31,max_temp,30.8,1964,7,1994년_이전,정상
1964-08-01,max_temp,34.5,1964,8,1994년_이전,폭염
1964-08-02,max_temp,34.4,1964,8,1994년_이전,폭염
1964-08-03,max_temp,30.8,1964,8,1994년_이전,정상
1964-08-04,max_temp,31.8,1964,8,1994년_이전,정상
1964-08-05,max_temp,32.2,1964,8,1994년_이전,정상
1964-08-06,max_temp,29.5,1964,8,1994년_이전,정상
1964-08-07,max_temp,26.8,1964,8,1994년_이전,정상
1964-08-08,max_temp,27.6,1964,8,1994년_이전,정상
1964-08-09,max_temp,28.2,1964,8,1994년_이전,정상
1964-08-10,max_temp,29.6,1964,8,1994년_이전,정상
1964-08-11,max_temp,26.2,1964,8,1994년_이전,정상
1964-08-12,max_temp,31,1964,8,1994년_이전,정상
1964-08-13,max_temp,33,1964,8,1994년_이전,폭염
1964-08-14,max_temp,31.2,1964,8,1994년_이전,정상
1964-08-15,max_temp,30,1964,8,1994년_이전,정상
1964-08-16,max_temp,27.4,1964,8,1994년_이전,정상
1964-08-17,max_temp,34.4,1964,8,1994년_이전,폭염
1964-08-18,max_temp,33.7,1964,8,1994년_이전,폭염
1964-08-19,max_temp,34.2,1964,8,1994년_이전,폭염
1964-08-20,max_temp,30.9,1964,8,1994년_이전,정상
1964-08-21,max_temp,32,1964,8,1994년_이전,정상
1964-08-22,max_temp,32.9,1964,8,1994년_이전,정상
1964-08-23,max_temp,31,1964,8,1994년_이전,정상
1964-08-24,max_temp,24.4,1964,8,1994년_이전,정상
1964-08-25,max_temp,29.3,1964,8,1994년_이전,정상
1964-08-26,max_temp,29.8,1964,8,1994년_이전,정상
1964-08-27,max_temp,29.2,1964,8,1994년_이전,정상
1964-08-28,max_temp,29.3,1964,8,1994년_이전,정상
1964-08-29,max_temp,30.3,1964,8,1994년_이전,정상
1964-08-30,max_temp,30.5,1964,8,1994년_이전,정상
1964-08-31,max_temp,24.8,1964,8,1994년_이전,정상
1965-07-01,max_temp,31.4,1965,7,1994년_이전,정상
1965-07-02,max_temp,35.2,1965,7,1994년_이전,폭염
1965-07-03,max_temp,34.6,1965,7,1994년_이전,폭염
1965-07-04,max_temp,24.1,1965,7,1994년_이전,정상
1965-07-05,max_temp,29.2,1965,7,1994년_이전,정상
1965-07-06,max_temp,29.2,1965,7,1994년_이전,정상
1965-07-07,max_temp,28.5,1965,7,1994년_이전,정상
1965-07-08,max_temp,28.9,1965,7,1994년_이전,정상
1965-07-09,max_temp,25,1965,7,1994년_이전,정상
1965-07-10,max_temp,24.2,1965,7,1994년_이전,정상
1965-07-11,max_temp,24.8,1965,7,1994년_이전,정상
1965-07-12,max_temp,28.4,1965,7,1994년_이전,정상
1965-07-13,max_temp,29.2,1965,7,1994년_이전,정상
1965-07-14,max_temp,25.2,1965,7,1994년_이전,정상
1965-07-15,max_temp,25.6,1965,7,1994년_이전,정상
1965-07-16,max_temp,25,1965,7,1994년_이전,정상
1965-07-17,max_temp,26.3,1965,7,1994년_이전,정상
1965-07-18,max_temp,31.4,1965,7,1994년_이전,정상
1965-07-19,max_temp,30,1965,7,1994년_이전,정상
1965-07-20,max_temp,24.8,1965,7,1994년_이전,정상
1965-07-21,max_temp,26.2,1965,7,1994년_이전,정상
1965-07-22,max_temp,26,1965,7,1994년_이전,정상
1965-07-23,max_temp,29,1965,7,1994년_이전,정상
1965-07-24,max_temp,28.2,1965,7,1994년_이전,정상
1965-07-25,max_temp,30.9,1965,7,1994년_이전,정상
1965-07-26,max_temp,29.3,1965,7,1994년_이전,정상
1965-07-27,max_temp,29,1965,7,1994년_이전,정상
1965-07-28,max_temp,31.1,1965,7,1994년_이전,정상
1965-07-29,max_temp,27.3,1965,7,1994년_이전,정상
1965-07-30,max_temp,29.4,1965,7,1994년_이전,정상
1965-07-31,max_temp,30.3,1965,7,1994년_이전,정상
1965-08-01,max_temp,31,1965,8,1994년_이전,정상
1965-08-02,max_temp,30.6,1965,8,1994년_이전,정상
1965-08-03,max_temp,25.4,1965,8,1994년_이전,정상
1965-08-04,max_temp,24.6,1965,8,1994년_이전,정상
1965-08-05,max_temp,29.6,1965,8,1994년_이전,정상
1965-08-06,max_temp,25.5,1965,8,1994년_이전,정상
1965-08-07,max_temp,24.7,1965,8,1994년_이전,정상
1965-08-08,max_temp,27.5,1965,8,1994년_이전,정상
1965-08-09,max_temp,29.8,1965,8,1994년_이전,정상
1965-08-10,max_temp,28.4,1965,8,1994년_이전,정상
1965-08-11,max_temp,24.4,1965,8,1994년_이전,정상
1965-08-12,max_temp,30.2,1965,8,1994년_이전,정상
1965-08-13,max_temp,30.4,1965,8,1994년_이전,정상
1965-08-14,max_temp,27.4,1965,8,1994년_이전,정상
1965-08-15,max_temp,30.5,1965,8,1994년_이전,정상
1965-08-16,max_temp,30,1965,8,1994년_이전,정상
1965-08-17,max_temp,28.8,1965,8,1994년_이전,정상
1965-08-18,max_temp,29,1965,8,1994년_이전,정상
1965-08-19,max_temp,29.4,1965,8,1994년_이전,정상
1965-08-20,max_temp,27.5,1965,8,1994년_이전,정상
1965-08-21,max_temp,27.8,1965,8,1994년_이전,정상
1965-08-22,max_temp,30.4,1965,8,1994년_이전,정상
1965-08-23,max_temp,28.5,1965,8,1994년_이전,정상
1965-08-24,max_temp,26,1965,8,1994년_이전,정상
1965-08-25,max_temp,30.5,1965,8,1994년_이전,정상
1965-08-26,max_temp,30.4,1965,8,1994년_이전,정상
1965-08-27,max_temp,30.6,1965,8,1994년_이전,정상
1965-08-28,max_temp,30,1965,8,1994년_이전,정상
1965-08-29,max_temp,28.1,1965,8,1994년_이전,정상
1965-08-30,max_temp,24.8,1965,8,1994년_이전,정상
1965-08-31,max_temp,28,1965,8,1994년_이전,정상
1966-07-01,max_temp,20.5,1966,7,1994년_이전,정상
1966-07-02,max_temp,26,1966,7,1994년_이전,정상
1966-07-03,max_temp,27.5,1966,7,1994년_이전,정상
1966-07-04,max_temp,27.5,1966,7,1994년_이전,정상
1966-07-05,max_temp,30.6,1966,7,1994년_이전,정상
1966-07-06,max_temp,27.8,1966,7,1994년_이전,정상
1966-07-07,max_temp,22.5,1966,7,1994년_이전,정상
1966-07-08,max_temp,25.7,1966,7,1994년_이전,정상
1966-07-09,max_temp,27.7,1966,7,1994년_이전,정상
1966-07-10,max_temp,27.3,1966,7,1994년_이전,정상
1966-07-11,max_temp,26.6,1966,7,1994년_이전,정상
1966-07-12,max_temp,29.3,1966,7,1994년_이전,정상
1966-07-13,max_temp,30.5,1966,7,1994년_이전,정상
1966-07-14,max_temp,26.8,1966,7,1994년_이전,정상
1966-07-15,max_temp,23.8,1966,7,1994년_이전,정상
1966-07-16,max_temp,24.6,1966,7,1994년_이전,정상
1966-07-17,max_temp,24.4,1966,7,1994년_이전,정상
1966-07-18,max_temp,27,1966,7,1994년_이전,정상
1966-07-19,max_temp,24.7,1966,7,1994년_이전,정상
1966-07-20,max_temp,27.1,1966,7,1994년_이전,정상
1966-07-21,max_temp,25.2,1966,7,1994년_이전,정상
1966-07-22,max_temp,27.1,1966,7,1994년_이전,정상
1966-07-23,max_temp,24.4,1966,7,1994년_이전,정상
1966-07-24,max_temp,25,1966,7,1994년_이전,정상
1966-07-25,max_temp,25.8,1966,7,1994년_이전,정상
1966-07-26,max_temp,26.7,1966,7,1994년_이전,정상
1966-07-27,max_temp,31.4,1966,7,1994년_이전,정상
1966-07-28,max_temp,30,1966,7,1994년_이전,정상
1966-07-29,max_temp,31.3,1966,7,1994년_이전,정상
1966-07-30,max_temp,28.7,1966,7,1994년_이전,정상
1966-07-31,max_temp,29.4,1966,7,1994년_이전,정상
1966-08-01,max_temp,31.6,1966,8,1994년_이전,정상
1966-08-02,max_temp,27.9,1966,8,1994년_이전,정상
1966-08-03,max_temp,31.4,1966,8,1994년_이전,정상
1966-08-04,max_temp,32.8,1966,8,1994년_이전,정상
1966-08-05,max_temp,32.8,1966,8,1994년_이전,정상
1966-08-06,max_temp,33.8,1966,8,1994년_이전,폭염
1966-08-07,max_temp,30.3,1966,8,1994년_이전,정상
1966-08-08,max_temp,34.7,1966,8,1994년_이전,폭염
1966-08-09,max_temp,32.8,1966,8,1994년_이전,정상
1966-08-10,max_temp,32.9,1966,8,1994년_이전,정상
1966-08-11,max_temp,29.8,1966,8,1994년_이전,정상
1966-08-12,max_temp,32,1966,8,1994년_이전,정상
1966-08-13,max_temp,32.1,1966,8,1994년_이전,정상
1966-08-14,max_temp,32.2,1966,8,1994년_이전,정상
1966-08-15,max_temp,34,1966,8,1994년_이전,폭염
1966-08-16,max_temp,33.7,1966,8,1994년_이전,폭염
1966-08-17,max_temp,27.3,1966,8,1994년_이전,정상
1966-08-18,max_temp,29.2,1966,8,1994년_이전,정상
1966-08-19,max_temp,26.4,1966,8,1994년_이전,정상
1966-08-20,max_temp,21.3,1966,8,1994년_이전,정상
1966-08-21,max_temp,30.6,1966,8,1994년_이전,정상
1966-08-22,max_temp,31.8,1966,8,1994년_이전,정상
1966-08-23,max_temp,31.8,1966,8,1994년_이전,정상
1966-08-24,max_temp,30.7,1966,8,1994년_이전,정상
1966-08-25,max_temp,29.4,1966,8,1994년_이전,정상
1966-08-26,max_temp,31.2,1966,8,1994년_이전,정상
1966-08-27,max_temp,32.6,1966,8,1994년_이전,정상
1966-08-28,max_temp,31.8,1966,8,1994년_이전,정상
1966-08-29,max_temp,33,1966,8,1994년_이전,폭염
1966-08-30,max_temp,33.3,1966,8,1994년_이전,폭염
1966-08-31,max_temp,32.2,1966,8,1994년_이전,정상
1967-07-01,max_temp,22.1,1967,7,1994년_이전,정상
1967-07-02,max_temp,21.4,1967,7,1994년_이전,정상
1967-07-03,max_temp,24.1,1967,7,1994년_이전,정상
1967-07-04,max_temp,24.4,1967,7,1994년_이전,정상
1967-07-05,max_temp,27.6,1967,7,1994년_이전,정상
1967-07-06,max_temp,26.8,1967,7,1994년_이전,정상
1967-07-07,max_temp,27.2,1967,7,1994년_이전,정상
1967-07-08,max_temp,30.1,1967,7,1994년_이전,정상
1967-07-09,max_temp,31.6,1967,7,1994년_이전,정상
1967-07-10,max_temp,31.3,1967,7,1994년_이전,정상
1967-07-11,max_temp,28.2,1967,7,1994년_이전,정상
1967-07-12,max_temp,24.5,1967,7,1994년_이전,정상
1967-07-13,max_temp,28.2,1967,7,1994년_이전,정상
1967-07-14,max_temp,29.4,1967,7,1994년_이전,정상
1967-07-15,max_temp,29,1967,7,1994년_이전,정상
1967-07-16,max_temp,30.4,1967,7,1994년_이전,정상
1967-07-17,max_temp,32.4,1967,7,1994년_이전,정상
1967-07-18,max_temp,34.7,1967,7,1994년_이전,폭염
1967-07-19,max_temp,30.5,1967,7,1994년_이전,정상
